x0	response
0.0	0.0
0.1	0.17976344431953514
0.2	0.3188287726607408
0.30000000000000004	0.41829743246183443
0.4	0.4808581678757144
0.5	0.5103779515445728
0.6000000000000001	0.5115138956732544
0.7000000000000001	0.48935985353748196
0.8	0.4491373716135583
0.9	0.39593689992533637
1.0	0.33451182923926226
1.1	0.2691250741054271
1.2000000000000002	0.20344560034181325
1.3	0.14049051317399683
1.4000000000000001	0.08260706078486106
1.5	0.03148812999854588
1.6	-0.011785536298949018
1.7000000000000002	-0.04668314905858101
1.8	-0.07314813729196273
1.9000000000000001	-0.09151473990877614
2.0	-0.10242208005667372
2.1	-0.10673005604160185
2.2	-0.10544051529110539
2.3000000000000003	-0.09962631104204349
2.4000000000000004	-0.09037001445293563
2.5	-0.07871329776614687
2.6	-0.0656173384704482
2.7	-0.051934033613270085
2.8000000000000003	-0.03838736378222661
2.9000000000000004	-0.02556390795656951
3.0	-0.013911278511870687
3.1	-0.003743111324285247
3.2	0.00475080246163221
3.3000000000000003	0.011490632262874508
3.4000000000000004	0.016490178258550182
3.5	0.019839276224836177
3.6	0.02168596042714984
3.7	0.022219233395907066
3.8000000000000003	0.021653110158111007
3.9000000000000004	0.020212425971870014
4.0	0.018120728376745072
